Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-04-01 00:00:00-05:00,10.44326918050414,10.529736451826516,10.216533899400599,10.29531478881836,3142581,0.0,0.0
2005-04-04 00:00:00-04:00,10.308766369251238,10.308766369251238,10.212692484745315,10.237671852111816,2045308,0.0,0.0
2005-04-05 00:00:00-04:00,10.25112495657506,10.34143506329764,10.247282157495915,10.335670471191406,1057118,0.0,0.0
2005-04-06 00:00:00-04:00,10.347195392281415,10.402917923408493,10.301079461406692,10.339509010314941,651063,0.0,0.0
2005-04-07 00:00:00-04:00,10.337591449520799,10.387549407562597,10.303004686584186,10.333747863769531,725574,0.0,0.0
2005-04-08 00:00:00-04:00,10.370252299508468,10.391388864843055,10.27417764642143,10.283785820007324,1241357,0.0,0.0
2005-04-11 00:00:00-04:00,10.337585704627779,10.42789496707067,10.312606346001141,10.416366577148438,853769,0.0,0.0
2005-04-12 00:00:00-04:00,10.397150026517899,10.5278113956144,10.308761777353865,10.49706745147705,1176079,0.0,0.0
2005-04-13 00:00:00-04:00,10.477859515964433,10.548954834772976,10.399078599596843,10.40676498413086,1073438,0.0,0.0
2005-04-14 00:00:00-04:00,10.399077193252275,10.41444917326647,10.251122770962366,10.266494750976562,1086536,0.0,0.0
2005-04-15 00:00:00-04:00,10.260728280599306,10.27225746024182,10.058972358703613,10.058972358703613,1969294,0.0,0.0
2005-04-18 00:00:00-04:00,10.049365652188014,10.289551139865438,10.041680056555437,10.187712669372559,1483788,0.0,0.0
2005-04-19 00:00:00-04:00,10.195397017943394,10.293392671069325,10.185788844857397,10.260726928710938,1239854,0.0,0.0
2005-04-20 00:00:00-04:00,10.22230193510425,10.253045899137337,10.13583542160803,10.164657592773438,1489800,0.0,0.0
2005-04-21 00:00:00-04:00,10.241510813726643,10.349113838856153,10.195395681228003,10.33758544921875,951256,0.0,0.0
2005-04-22 00:00:00-04:00,10.318373546365343,10.433662992385951,10.299158769857707,10.374096870422363,964569,0.0,0.0
2005-04-25 00:00:00-04:00,10.395233029806388,10.50475788116455,10.395233029806388,10.50475788116455,653640,0.0,0.0
2005-04-26 00:00:00-04:00,10.462481825113109,10.49322577252408,10.376015358366118,10.377936363220215,912605,0.0,0.0
2005-04-27 00:00:00-04:00,10.356799485183894,10.529733187238405,10.310683568977872,10.49706745147705,1050676,0.0,0.0
2005-04-28 00:00:00-04:00,10.439427363647823,10.491307101734717,10.303002138516758,10.33182430267334,1419798,0.0,0.0
2005-04-29 00:00:00-04:00,10.337588471963846,10.425976753234863,10.226141830726654,10.425976753234863,2109513,0.0,0.0
2005-05-02 00:00:00-04:00,10.433657982045755,10.54126099360646,10.433657982045755,10.50283145904541,1138716,0.0,0.0
2005-05-03 00:00:00-04:00,10.479774986131705,10.564319656173183,10.460560216851869,10.483617782592773,1173717,0.0,0.0
2005-05-04 00:00:00-04:00,10.472093297718276,10.60083293914795,10.443271130886231,10.60083293914795,1301911,0.0,0.0
2005-05-05 00:00:00-04:00,10.539345154984744,10.677691389820858,10.523973176230777,10.616204261779785,1926133,0.0,0.0
2005-05-06 00:00:00-04:00,10.593145575226966,10.664240084154986,10.568166210745577,10.598909378051758,1215375,0.0,0.0
2005-05-09 00:00:00-04:00,10.679613130517755,10.789137986749672,10.662320146362607,10.769923210144043,3079665,0.0,0.0
2005-05-10 00:00:00-04:00,10.864074491547786,11.042772045120863,10.817958562284748,10.89289665222168,3458664,0.0,0.0
2005-05-11 00:00:00-04:00,10.904426806757092,10.912113189697266,10.81027392781991,10.912113189697266,1734164,0.0,0.0
2005-05-12 00:00:00-04:00,10.869836368197616,10.875600956705966,10.650787513702042,10.702667236328125,1628946,0.0,0.0
2005-05-13 00:00:00-04:00,10.708436535859406,10.708436535859406,10.34719774945902,10.533581733703613,2094052,0.0,0.0
2005-05-16 00:00:00-04:00,10.529736892626554,10.639260953323607,10.479778162566625,10.606595993041992,1443848,0.0,0.0
2005-05-17 00:00:00-04:00,10.577772398455894,10.743019756769176,10.531656472264578,10.72764778137207,1147735,0.0,0.0
2005-05-18 00:00:00-04:00,10.76992224698891,10.8102728020673,10.652711018412075,10.716120719909668,1281941,0.0,0.0
2005-05-19 00:00:00-04:00,10.716118205172458,10.750704949248027,10.618122561454104,10.702667236328125,1510200,0.0,0.0
2005-05-20 00:00:00-04:00,10.693060367315958,10.700746748022977,10.583536328268481,10.671924591064453,1552072,0.0,0.0
2005-05-23 00:00:00-04:00,10.687297383024681,10.710355741632938,10.612360078471932,10.673847198486328,1041014,0.0,0.0
2005-05-24 00:00:00-04:00,10.712281825454701,10.750712179029685,10.639265491519849,10.725732803344727,2377067,0.0,0.0
2005-05-25 00:00:00-04:00,10.702672669847466,10.841019716385594,10.700751664019121,10.814119338989258,1357956,0.0,0.0
2005-05-26 00:00:00-04:00,10.846782034745155,10.931327521798133,10.819880876011345,10.915955543518066,1511059,0.0,0.0
2005-05-27 00:00:00-04:00,10.933248546555673,11.006265640258789,10.890976196441827,11.006265640258789,1432467,0.0,0.0
2005-05-31 00:00:00-04:00,11.019713051857973,11.079279157686752,10.983204514197741,11.050457000732422,2774104,0.0,0.0
2005-06-01 00:00:00-04:00,11.019716262459585,11.231079595346761,10.979364916177301,11.144612312316895,1865793,0.0,0.0
2005-06-02 00:00:00-04:00,11.106179468768032,11.144609011187118,11.08504369262228,11.131158828735352,971656,0.0,0.0
2005-06-03 00:00:00-04:00,11.144615188306394,11.217632303743299,11.110028423563918,11.163830757141113,973159,0.0,0.0
2005-06-06 00:00:00-04:00,11.106184739481222,11.208024019591623,11.098499142139845,11.171515464782715,1842603,0.0,0.0
2005-06-07 00:00:00-04:00,11.183040883397252,11.317544300420192,11.121552977464162,11.125395774841309,2038437,0.0,0.0
2005-06-08 00:00:00-04:00,11.173816477034974,11.197058697906142,11.113773345947266,11.113773345947266,4891132,0.214222,0.0
2005-06-09 00:00:00-04:00,11.06535094452274,11.127331257970637,11.047919477163601,11.107962608337402,1977239,0.0,0.0
2005-06-10 00:00:00-04:00,11.117651882892266,11.204810845046241,11.098283224635827,11.168010711669922,990337,0.0,0.0
2005-06-13 00:00:00-04:00,11.148639925066057,11.26678903518582,11.080848840832989,11.224177360534668,794503,0.0,0.0
2005-06-14 00:00:00-04:00,11.243548996984055,11.319087245763228,11.214496007440683,11.301655769348145,642044,0.0,0.0
2005-06-15 00:00:00-04:00,11.321024685308176,11.321024685308176,11.204811931226736,11.272603034973145,809105,0.0,0.0
2005-06-16 00:00:00-04:00,11.26678714266949,11.282282222369233,11.1312057902545,11.179627418518066,834443,0.0,0.0
2005-06-17 00:00:00-04:00,11.262913418951168,11.386873261597946,11.185438021498811,11.381062507629395,1864290,0.0,0.0
2005-06-20 00:00:00-04:00,11.321018185555548,11.437230079638722,11.299712354329536,11.410114288330078,1146446,0.0,0.0
2005-06-21 00:00:00-04:00,11.39656115639706,11.462414273259792,11.379128889031815,11.443045616149902,965214,0.0,0.0
2005-06-22 00:00:00-04:00,11.499212746303586,11.545697989423825,11.425611706321009,11.479844093322754,1448787,0.0,0.0
2005-06-23 00:00:00-04:00,11.472094940172884,11.580560495956576,11.446915535311293,11.553443908691406,1329397,0.0,0.0
2005-06-24 00:00:00-04:00,11.539889604828362,11.60767990418341,11.472098512196078,11.505025863647461,1145802,0.0,0.0
2005-06-27 00:00:00-04:00,11.49533580271614,11.536009486079823,11.466282831766291,11.510830879211426,1030706,0.0,0.0
2005-06-28 00:00:00-04:00,11.563132734386736,11.599933661438303,11.530206173650186,11.588312149047852,1149023,0.0,0.0
2005-06-29 00:00:00-04:00,11.617363341116155,11.617363341116155,11.448855403886412,11.481781959533691,1613270,0.0,0.0
2005-06-30 00:00:00-04:00,11.505023703234476,11.582498316520637,11.466286396591396,11.501150131225586,1381576,0.0,0.0
2005-07-01 00:00:00-04:00,11.534075928788463,11.720015305824038,11.524391602761133,11.704520225524902,1782693,0.0,0.0
2005-07-05 00:00:00-04:00,11.677405320246766,11.843976057927064,11.659973056102311,11.760690689086914,1602534,0.0,0.0
2005-07-06 00:00:00-04:00,11.745192527306891,11.807172836973846,11.597990481763203,11.62898063659668,2891776,0.0,0.0
2005-07-07 00:00:00-04:00,11.611552114268736,11.776186472373602,11.57862555995862,11.756817817687988,1276143,0.0,0.0
2005-07-08 00:00:00-04:00,11.756815576647453,11.9078912130532,11.70064601279972,11.892396926879883,2072364,0.0,0.0
2005-07-11 00:00:00-04:00,11.911770836405307,11.958255302000115,11.843979734723757,11.938886642456055,1179729,0.0,0.0
2005-07-12 00:00:00-04:00,11.873025118857877,11.965995577050606,11.834287824582656,11.905952453613281,1569465,0.0,0.0
2005-07-13 00:00:00-04:00,11.898208882468564,11.911767575059017,11.845913674673078,11.8633451461792,1402834,0.0,0.0
2005-07-14 00:00:00-04:00,11.892397956222549,11.967935384325044,11.776185246925,11.83041763305664,2719347,0.0,0.0
2005-07-15 00:00:00-04:00,11.776180035560797,11.84009671974215,11.77230646539638,11.805233001708984,1452652,0.0,0.0
2005-07-18 00:00:00-04:00,11.809113948630968,11.855599199471868,11.75875591848316,11.768440246582031,1531887,0.0,0.0
2005-07-19 00:00:00-04:00,11.77230787488349,11.851719642507112,11.696769677888062,11.79167652130127,1254670,0.0,0.0
2005-07-20 00:00:00-04:00,11.756811630912276,11.842034142648705,11.679337052939191,11.81491756439209,1125403,0.0,0.0
2005-07-21 00:00:00-04:00,11.772312924914186,11.783933641783772,11.60380499417232,11.679343223571777,1988619,0.0,0.0
2005-07-22 00:00:00-04:00,11.689027257648036,11.785870528850431,11.675468565058,11.75875473022461,2106292,0.0,0.0
2005-07-25 00:00:00-04:00,11.785867691040039,11.863342289347562,11.731635313569388,11.785867691040039,1464033,0.0,0.0
