Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-04-01 00:00:00-05:00,81.33532156202583,81.57035207114951,79.55055670714086,80.2776870727539,5625700,0.0,0.0
2005-04-04 00:00:00-04:00,80.16752049937605,81.7686676978247,79.74887220271411,81.52629089355469,6114600,0.0,0.0
2005-04-05 00:00:00-04:00,81.48955343514847,82.187304232105,81.12231794314046,81.22514343261719,4656300,0.0,0.0
2005-04-06 00:00:00-04:00,81.48956591110573,82.73082385726997,81.37205344952798,82.62799835205078,5276800,0.0,0.0
2005-04-07 00:00:00-04:00,82.62800942085416,83.6783034536354,82.40766582097034,83.38451385498047,4735900,0.0,0.0
2005-04-08 00:00:00-04:00,83.17884000302392,83.91331099642811,82.83363773955293,82.94380950927734,3801400,0.0,0.0
2005-04-11 00:00:00-04:00,83.32573188958101,83.59014189526769,82.20199216719706,82.32685089111328,3599100,0.0,0.0
2005-04-12 00:00:00-04:00,81.93023443347133,82.605946343807,80.89462773308358,82.08447265625,5921800,0.0,0.0
2005-04-13 00:00:00-04:00,82.09181336150137,82.26074414093235,80.59349759578893,80.79914855957031,4684700,0.0,0.0
2005-04-14 00:00:00-04:00,80.9019867710665,81.08560453241546,79.63869567641454,79.6827621459961,4350600,0.0,0.0
2005-04-15 00:00:00-04:00,79.57991473957931,80.10873464325132,78.21379852294922,78.21379852294922,5600500,0.0,0.0
2005-04-18 00:00:00-04:00,78.36068830149345,79.31549694104825,78.0742451492703,78.8454360961914,4059600,0.0,0.0
2005-04-19 00:00:00-04:00,78.95562984086466,79.26410630561895,78.33867691135606,78.36071014404297,4613900,0.0,0.0
2005-04-20 00:00:00-04:00,78.36805009184503,78.50760136899193,76.43639346211474,76.62735748291016,5484400,0.0,0.0
2005-04-21 00:00:00-04:00,77.48666899228553,78.52961617794162,75.98100161878095,77.20022583007812,7066500,0.0,0.0
2005-04-22 00:00:00-04:00,77.30331591243133,77.85548245466299,75.98547775760703,76.70697784423828,7265000,0.25,0.0
2005-04-25 00:00:00-04:00,77.67142230344658,78.34138703081511,76.97201363848066,77.84811401367188,3600400,0.0,0.0
2005-04-26 00:00:00-04:00,77.84811888134031,78.91564423616187,77.39166479997324,77.8333969116211,3703400,0.0,0.0
2005-04-27 00:00:00-04:00,77.79659697218159,79.62979425775826,77.45793544097691,79.3353042602539,3631200,0.0,0.0
2005-04-28 00:00:00-04:00,78.73892972349375,79.43098010484736,77.99534965089818,78.20885467529297,3574100,0.0,0.0
2005-04-29 00:00:00-04:00,78.87145993677633,78.9818943589002,76.93519812099281,78.62114715576172,4585000,0.0,0.0
2005-05-02 00:00:00-04:00,77.92912547453429,77.92912547453429,75.83089314677177,76.90577697753906,6286100,0.0,0.0
2005-05-03 00:00:00-04:00,76.23580611643969,77.22970489864585,75.8676950402945,76.83950805664062,5618200,0.0,0.0
2005-05-04 00:00:00-04:00,77.45055442910706,78.88619074144998,77.04563568736542,78.23831176757812,5198800,0.0,0.0
2005-05-05 00:00:00-04:00,78.62848731858901,78.98923441331397,76.9793465088508,77.52415466308594,4722400,0.0,0.0
