date,sentiment
2017-01-01,0.12282527331262824
2017-01-02,0.12743134734531242
2017-01-03,0.08264038981869816
2017-01-04,-0.003973410930484526
2017-01-05,0.10385994960864384
2017-01-06,0.11027901200577614
2017-01-07,0.13547833785414692
2017-01-08,0.0883270800113678
2017-01-09,0.1473985537886619
2017-01-10,0.1242916081100702
2017-01-11,0.0779484808444976
2017-01-12,0.23136485717259345
2017-01-13,0.12252515554428096
2017-01-16,0.13961514499452377
2017-01-17,-0.04803699712184342
2017-01-18,0.017006495594978306
2017-01-19,0.20595184465249372
2017-01-20,-0.017488205007144358
2017-01-21,-0.06826934777200225
2017-01-22,-0.15861549973487854
2017-01-23,0.0012223576195538165
2017-01-24,0.014144952154972336
2017-01-25,0.05492826248519121
2017-01-26,0.13976565822958947
2017-01-27,0.16720692585063673
2017-01-28,-0.04210220277309419
2017-01-31,0.1285220384597778
2017-02-02,0.0736265480518341
2017-02-04,0.0364217795431613
2017-02-05,0.04686843696981665
2017-02-06,0.1316769073406855
2017-02-07,0.07210162468254565
2017-02-08,0.15855663828551766
2017-02-09,0.06614638678729531
2017-02-10,0.07974401287113624
2017-02-11,0.09954361307124297
2017-02-12,0.1112644142574734
2017-02-13,0.06731535773169957
2017-02-14,0.024180886062697082
2017-02-15,0.07911334794176661
2017-02-16,0.07431154471955127
2017-02-17,0.1147465139458125
2017-02-18,0.03306591014067331
2017-02-20,0.1779898493127389
2017-02-21,-0.019887611269950877
2017-02-22,0.0519909711385315
2017-02-23,0.06365780159831043
2017-02-24,0.020256896813710498
2017-02-25,0.012369012460112567
2017-02-26,0.12094999849796295
2017-02-27,0.022097261829508667
2017-02-28,0.038731585089408334
2017-03-01,0.09053437478308164
2017-03-02,0.16624888529380158
2017-03-03,-0.0011262084756578719
2017-03-04,0.07572772141013825
2017-03-12,0.09825251592944062
2017-03-13,0.0750890066847205
2017-03-14,0.10407236043476695
2017-03-15,0.12280804843191472
2017-03-16,0.10033618984743951
2017-03-17,0.23056598007678986
2017-03-21,0.06607262231409546
2017-03-22,0.16462947459270552
2017-03-23,0.2545404881238937
2017-03-24,0.16273221559822562
2017-03-27,0.10253688367083666
2017-03-28,0.14280826225876803
2017-03-29,0.1326188594102859
2017-03-30,0.07062698937952516
2017-03-31,0.06757766326987426
2017-04-01,0.060592624048391976
2017-04-02,0.22778534144163126
2017-04-03,0.12130102030932899
2017-04-04,0.15803862943385652
2017-04-05,0.020378489763690853
2017-04-06,0.12943825979406634
2017-04-07,0.042356324692567164
2017-04-10,0.0030133842956274
2017-04-11,0.0520690828561782
2017-04-12,0.19758820782105127
2017-04-13,0.2445859313011169
2017-04-14,0.1146524921059608
2017-04-23,0.029192388057708747
2017-04-24,0.17045340562860167
2017-04-25,0.0387061312794685
2017-04-26,0.031362953595817096
2017-04-27,0.08773648294154553
2017-04-28,0.0949256468725036
2017-04-29,0.11475910743077593
2017-04-30,0.0483749099075794
2017-05-01,-0.023518807440996197
2017-05-02,0.08209382846835067
2017-05-03,0.06851774661461946
2017-05-04,-0.04868620861735609
2017-05-05,0.09543088415618207
2017-05-06,0.05397688349088033
2017-05-21,0.04337401017546648
2017-05-22,0.0978735893964767
2017-05-23,0.10133218993432817
2017-05-24,0.13469052501022813
2017-05-25,0.09225613777251802
2017-05-26,0.12322939058335924
2017-05-27,0.00435946695506572
2017-05-28,-0.06346092186868185
2017-05-29,0.0775072500109672
2017-05-30,0.15733442932148187
2017-05-31,0.2141521538679416
2017-06-01,0.3145799788513354
2017-06-02,0.10617174052943783
2017-06-03,0.06667794100940226
2017-06-04,-0.1804761737585067
2017-06-05,0.08585954178124663
2017-06-06,0.10785071675976116
2017-06-07,-0.11892588771879672
2017-06-08,0.13516298532485957
2017-06-09,0.16880487118448526
2017-06-10,0.2266058539971709
2017-06-18,-0.2431835085153579
2017-06-19,0.12114361373500689
2017-06-20,-0.0006391681575527141
2017-06-21,0.0434211838503622
2017-06-22,0.059990091100335104
2017-06-23,-0.037625063769519324
2017-06-24,-0.11495539380444418
2017-07-02,-0.0374777801334857
2017-07-03,-0.06481134897330773
2017-07-04,-0.18052535346494267
2017-07-05,0.16440128410855923
2017-07-06,-0.1053595351986587
2017-07-07,-0.18024289858495363
2017-07-08,-0.024601913290098282
2017-07-09,0.3937845230102539
2017-07-10,0.08596668504178523
2017-07-11,0.17678376328614018
2017-07-12,0.14301486187032425
2017-07-13,0.264385995765527
2017-07-14,0.11429200321435931
2017-07-16,0.13893232680857176
2017-07-17,0.09959385765250772
2017-07-18,0.003735905047506084
2017-07-19,0.005582537502050386
2017-07-20,0.1018298577274317
2017-07-21,-0.0036724358797073364
2017-07-22,-0.05470309201627971
2017-07-24,-0.2173094153404235
2017-07-25,-0.0943440422415733
2017-07-28,-0.032371062785387
2017-07-30,0.0925616770982742
2017-07-31,0.07830843888223168
2017-08-01,0.11274570684569574
2017-08-02,0.045739371937492654
2017-08-03,0.09670258160414438
2017-08-04,0.08962199511006474
2017-08-05,0.08294604346156115
2017-08-06,-0.0988140627741813
2017-08-07,0.0581204909831285
2017-08-08,-0.04812049182752767
2017-08-09,0.1496602892875671
2017-08-10,-0.07118811272084713
2017-08-11,0.15867536352016026
2017-08-12,0.0747310407459736
2017-08-13,0.11336119696497919
2017-08-14,-0.08006997680817932
2017-08-15,0.03837921667311872
2017-08-16,0.0019309827023082263
2017-08-17,0.06860639367784771
2017-08-18,0.06573726857701936
2017-08-19,0.11418242612853646
2017-08-20,0.0480961427092552
2017-08-21,0.0778106749057769
2017-08-23,0.3488098680973053
