lr,weight_decay,batch_size,dropout,hidden_dim,num_layers,val_loss,test_loss,mae
0.001,0.0001,32,0.9,128,2,0.063,0.056,0.174
0.001,0.0001,32,0.55,128,2,0.0616,0.0553,0.1738
0.001,0.0,32,0.55,128,2,0.0571,0.0529,0.1694
0.001,0.0,32,0.55,64,2,0.0606,0.053,0.1697
0.0005,0.0,16,0.3,64,1,0.0516,0.0551,0.1678
0.0005,0.0,16,0.3,64,2,0.054378,0.056604,0.1704290062189102
0.0005,0.0,16,0.3,128,1,0.054418,0.055594,0.1705770045518875
0.0005,0.0,16,0.3,128,2,0.054408,0.056105,0.1691489964723587
0.0005,0.0,16,0.3,256,1,0.054884,0.057877,0.1715520024299621
0.0005,0.0,16,0.3,256,2,0.054947,0.056932,0.171885997056961
0.0005,0.0,16,0.5,64,1,0.053977,0.055326,0.1701399981975555
0.0005,0.0,16,0.5,64,2,0.05495,0.056964,0.1737049967050552
0.0005,0.0,16,0.5,128,1,0.054025,0.056706,0.1727280020713806
0.0005,0.0,16,0.5,128,2,0.05513,0.060663,0.1761520057916641
0.0005,0.0,16,0.5,256,1,0.054274,0.057374,0.1721599996089935
0.0005,0.0,16,0.5,256,2,0.055508,0.057409,0.1715250015258789
0.0005,0.0,32,0.3,64,1,0.054091,0.057485,0.1730879992246627
0.0005,0.0,32,0.3,64,2,0.053123,0.056387,0.1708139926195144
0.0005,0.0,32,0.3,128,1,0.054438,0.055679,0.1690679937601089
0.0005,0.0,32,0.3,128,2,0.054519,0.058441,0.1736160069704055
0.0005,0.0,32,0.3,256,1,0.054176,0.057526,0.1701100021600723
0.0005,0.0,32,0.3,256,2,0.053381,0.056981,0.1725260019302368
0.0005,0.0,32,0.5,64,1,0.053849,0.056294,0.1702159941196441
0.0005,0.0,32,0.5,64,2,0.055725,0.058685,0.1748549938201904
0.0005,0.0,32,0.5,128,1,0.052695,0.055297,0.167044997215271
0.0005,0.0,32,0.5,128,2,0.053437,0.058093,0.1734970062971115
0.0005,0.0,32,0.5,256,1,0.055432,0.058494,0.1753730028867721
0.0005,0.0,32,0.5,256,2,0.055694,0.059889,0.1764640063047409
0.0005,0.0,64,0.3,64,1,0.051796,0.05704,0.1700489968061447
0.0005,0.0,64,0.3,64,2,0.052182,0.058074,0.1713320016860962
0.0005,0.0,64,0.3,128,1,0.053549,0.057361,0.170072004199028
0.0005,0.0,64,0.3,128,2,0.052376,0.057725,0.1671140044927597
0.0005,0.0,64,0.3,256,1,0.053114,0.058566,0.1729370057582855
0.0005,0.0,64,0.3,256,2,0.052762,0.058295,0.1695329993963241
0.0005,0.0,64,0.5,64,1,0.053837,0.059781,0.1747609972953796
0.0005,0.0,64,0.5,64,2,0.055692,0.059237,0.1736799925565719
0.0005,0.0,64,0.5,128,1,0.052422,0.059079,0.1715510040521621
0.0005,0.0,64,0.5,128,2,0.054468,0.06061,0.1765680015087127
0.0005,0.0,64,0.5,256,1,0.053886,0.057031,0.1687040030956268
0.0005,0.0,64,0.5,256,2,0.0522,0.059452,0.1716859936714172
0.0005,0.0001,16,0.3,64,1,0.053818,0.057977,0.176155999302864
0.0005,0.0001,16,0.3,64,2,0.056372,0.059622,0.1784680038690567
0.0005,0.0001,16,0.3,128,1,0.054469,0.056831,0.1725700050592422
0.0005,0.0001,16,0.3,128,2,0.056824,0.059188,0.1772930026054382
0.0005,0.0001,16,0.3,256,1,0.055218,0.058491,0.1759739965200424
0.0005,0.0001,16,0.3,256,2,0.057132,0.060047,0.1799529939889907
0.0005,0.0001,16,0.5,64,1,0.055599,0.057576,0.1745160073041916
0.0005,0.0001,16,0.5,64,2,0.056768,0.058785,0.176823005080223
0.0005,0.0001,16,0.5,128,1,0.055846,0.057989,0.1754480004310608
0.0005,0.0001,16,0.5,128,2,0.055841,0.058272,0.1756339967250824
0.0005,0.0001,16,0.5,256,1,0.055484,0.058067,0.1743700057268142
0.0005,0.0001,16,0.5,256,2,0.056877,0.05988,0.1786980032920837
0.0005,0.0001,32,0.3,64,1,0.052751,0.057271,0.1737000048160553
0.0005,0.0001,32,0.3,64,2,0.055796,0.05961,0.17754100263118744
0.0001,0.0,32,0.5,128,2,0.054415,0.05655,0.17095999419689178
