trial_number,train_losses,val_losses
20,"[0.06408601351082326, 0.03816275908301274, 0.02604739385967453, 0.01796963927646478, 0.013429173454642295, 0.010289292093366384, 0.008168838238343596, 0.006687240952936311, 0.005709820832125842, 0.00510357604517291, 0.0047232820745557545, 0.004372324328869581, 0.004047451141911248, 0.0037566723938410483, 0.003692328336959084, 0.003862961841126283, 0.0035238838746833303, 0.0035595461431269845, 0.003627680167555809, 0.0033868560458843906, 0.0034058326886345944, 0.003538256282918155, 0.003767690345024069, 0.00837341466297706, 0.011061325520277023]","[0.04804376230546922, 0.04447305603235057, 0.03546419490664972, 0.033937555653127754, 0.036156137784322105, 0.034617773169002525, 0.031363781904942836, 0.03167854757471518, 0.030918991503616173, 0.030694649260223025, 0.031232889064333656, 0.03010693351935708, 0.03081973594133601, 0.03086367201511607, 0.029332234298415256, 0.030306773147348202, 0.029744339570628876, 0.030114876473266067, 0.028402877435313934, 0.030020556257416803, 0.03017343558145292, 0.03093478399695772, 0.029518608441294142, 0.033387736304465565, 0.03504357974496529]"
21,"[0.06603337806959947, 0.03906267912437519, 0.027566581269105276, 0.019353814696272214, 0.01367811429935197, 0.01037713438893358, 0.008423393319050471, 0.006606107441087564, 0.0055658200616016985, 0.005115359995203714, 0.004550598240457475, 0.00435771683541437, 0.004030119952124854, 0.0038033877577011784, 0.003997997775052984, 0.0039363777109732235, 0.0036597978944579762, 0.0035897910703594485, 0.003601697109018763, 0.003656346396698306, 0.0036193089295799533, 0.003610231727361679, 0.003883216289492945, 0.003913052232625584, 0.003808387111251553, 0.0037292727921158075]","[0.04983058786301902, 0.03685188665986061, 0.037059044860529175, 0.03410335573734659, 0.03490758862233523, 0.03335640771370946, 0.03316317337819121, 0.03158815111612168, 0.03189740869019068, 0.03197733118114146, 0.032112506444029736, 0.0315332160557084, 0.03192982458594171, 0.03105170903445193, 0.0316191193026801, 0.031386955584766285, 0.031082810932826815, 0.030612363183701582, 0.030830841553820806, 0.029857699731082626, 0.0319427013340773, 0.03060113136995245, 0.030181112247660305, 0.03181114818223498, 0.030608503684175736, 0.03153116608772314]"
22,"[0.06974808471898238, 0.0430553067351381, 0.03301736257970333, 0.024743694389859835, 0.019200821140160165, 0.01705824477598071, 0.014572206034014622, 0.01297243949646751, 0.011625563486789664, 0.01095780100983878, 0.01068029571014146, 0.009606797490268945, 0.009572207800423106, 0.009354021412630876, 0.009334097560495138, 0.008946196129545569, 0.008911208690454562, 0.009001116023088495, 0.008790199145053823, 0.007991012896721562, 0.008713071901972095, 0.008540217174837987, 0.00828122381431361, 0.008315512019520004, 0.008459530839075646]","[0.04968844162243785, 0.04445671798153357, 0.03950931797876502, 0.03633762071981574, 0.04037414525042881, 0.03621456670490178, 0.03590688414194367, 0.03520309180021286, 0.03581330959092487, 0.03425748392262242, 0.034417209017908935, 0.03458103825422851, 0.03399193777956746, 0.03582285886461085, 0.034370767291296615, 0.03495740331709385, 0.03461234999651259, 0.03643549668292204, 0.03398723070594398, 0.03724080312884215, 0.036803135027488075, 0.0371917566905419, 0.03615459796944351, 0.03546801627133832, 0.03642250546677546]"
23,"[0.3693992597361406, 0.12422187129656474, 0.09157002980510394, 0.06694082173208396, 0.052320092966159186, 0.05099329978227615, 0.040838335677981376, 0.029811055331180492, 0.02682296358048916, 0.02296497598911325, 0.02028698637460669, 0.017809832605222863, 0.016484835514177877, 0.01660995850339532, 0.014634411552300056, 0.014099779703343907, 0.01204422309063375]","[0.12471601886279655, 0.09626904152559512, 0.09579270581404369, 0.04367486314114296, 0.0428151824144703, 0.06974599239501086, 0.04056474368906382, 0.0392561506367091, 0.039507444383520066, 0.03793632679364898, 0.036695664170000586, 0.03746413862840696, 0.04022684306696509, 0.04165452044231422, 0.036743510853160515, 0.036948376448091236, 0.036734144034033474]"
24,"[0.06778316015998523, 0.042388924434781074, 0.032463074525197345, 0.024991823757688204, 0.019035518032809097, 0.015118439669410387, 0.012216040752828122, 0.009415235538035631, 0.008024345661203067, 0.00680014155805111, 0.0056439054167519015, 0.004892414715141058, 0.004364106462647518]","[0.05575078397112734, 0.03953963167527143, 0.039028898703263086, 0.035627927083302945, 0.03276795496041065, 0.03144945220693069, 0.031183924882070106, 0.03263249935801415, 0.03271344632786863, 0.03173901200951899, 0.03244588518624797, 0.03205143638393458, 0.03221487177207189]"
25,"[0.05967143803834915, 0.04363794516772032, 0.03320687089115381, 0.026403330974280836, 0.020663235435883203, 0.015840378279487293, 0.011734227032090226, 0.009282491380969683, 0.007236913988987605, 0.006191326705738902, 0.0056356892377759015, 0.004692949357752998, 0.003857887329844137, 0.0034521369938738645, 0.0032621733269964657, 0.00300103313755244, 0.00271917782491073, 0.002636972894736876, 0.0025520677589035284, 0.0024052090981664755, 0.0023913435211094717, 0.0023595581397724648, 0.0022553969966247677, 0.002126902654611816, 0.0022207104996778072, 0.0021864800745000443, 0.002069461174154033, 0.0021112082087590047, 0.0021360814447204273]","[0.05302512724742745, 0.04252910642235568, 0.03801899555731903, 0.03792135107020537, 0.035471887468840134, 0.0341390399826747, 0.03259712307375263, 0.033418016610526, 0.03462866921803321, 0.03273021398733059, 0.03332974353918072, 0.03146570904011076, 0.03397135165604678, 0.03267923193616849, 0.03239307761418097, 0.032565223589313755, 0.03233059805422796, 0.0311556280816369, 0.032308905949872554, 0.030908014286648144, 0.030582176980026292, 0.031791695915727, 0.0302786311685023, 0.031290568467794044, 0.03095426113401173, 0.03142114203761925, 0.030959130102542764, 0.031403403573979936, 0.03124096550781167]"
26,"[0.06614481451610724, 0.04345238167792559, 0.03270609812190135, 0.023523144349455835, 0.017110667116940023, 0.013483271403238177, 0.01087814651740094, 0.008404308886577685, 0.07915505279786884, 0.06070999976247549, 0.03257520616054535, 0.021024459674954414, 0.015855497444669405, 0.012513582843045394]","[0.04986125501719388, 0.043145782173131454, 0.037853676599986626, 0.03353023466964563, 0.03228498011771025, 0.03281836941217383, 0.03221899694339796, 0.03198129376114318, 0.09139408667882283, 0.04459701975186666, 0.037165211965188835, 0.03573473430041111, 0.03375140710197615, 0.03537838917338487]"
27,"[0.1228973728666703, 0.07592760461072127, 0.0532607606301705, 0.044765558019280435, 0.03847743111352126, 0.03325430837770303, 0.0290217204640309, 0.025832883560409147, 0.022926578254749377, 0.02017070708796382, 0.018375422817965347, 0.016342074510951838, 0.014743973230943085, 0.013656081976369023, 0.013065488999709487, 0.01280071170690159, 0.011336097108821074, 0.010411879044647018, 0.009525236062084635, 0.00917560888454318, 0.008314476069062948, 0.008002558341249823, 0.007657737430805962, 0.007419068962335586, 0.007178375984852513, 0.006980395428836345]","[0.08783113617788661, 0.057348656157652535, 0.054681453966733184, 0.0468205272812735, 0.04102379597271934, 0.0404931888210051, 0.03814594106127819, 0.038663013499568806, 0.0387661966184775, 0.03551667640832337, 0.03482650914652781, 0.03496124172075228, 0.03529841497992024, 0.03676446149069251, 0.03710124998663863, 0.034236012125444235, 0.03484840053980323, 0.035159642356588985, 0.035529777125427216, 0.03398974713954059, 0.03491354567196333, 0.034706558559485005, 0.034646927012187065, 0.035673740221131026, 0.03639626931963545, 0.040972142056985336]"
28,"[0.0631272419790427, 0.04319225151091814, 0.03274162737031778, 0.023822736299286287, 0.017732369434088468, 0.013614887564132611, 0.010902030058205128, 0.008515807917962472, 0.006688889525830746, 0.005810153411390881, 0.0050586182080830135, 0.0045935168458769715, 0.00397810173065712, 0.003742667375287662, 0.0035998874460346996, 0.0033197961491532625, 0.003175464412197471, 0.003030390333539496, 0.005890229757254322, 0.009404397684459885, 0.004541968222086628, 0.003135129069754233, 0.002659381202732523, 0.0022781128017231823]","[0.05822173009316126, 0.044667046601799404, 0.04082264463332566, 0.03409012906592001, 0.03263468255825115, 0.0323900506182602, 0.03256174763946822, 0.03073667012380831, 0.029783363877372307, 0.032301067572199936, 0.031324412687822725, 0.03023647955816352, 0.030570092977899494, 0.029169063239047926, 0.029965443854135545, 0.03038351861477801, 0.02946586754511703, 0.02892650514276642, 0.04322474861912655, 0.032815270464528694, 0.03042941629378633, 0.02946296514886798, 0.029434853402728386, 0.02999486353699908]"
29,"[0.06393408258756002, 0.047900075564781826, 0.04151057086884975, 0.03566946084300677, 0.03126576197644075, 0.02566646580894788, 0.02120771722247203, 0.018884172762433687, 0.016436633641521137, 0.013410343416035175, 0.011557656805962324, 0.010065003279596568, 0.008567208256572485, 0.007369018538544575, 0.0065006035193800925, 0.005735817222545544, 0.004987913506726424, 0.004610884316886465, 0.004280015913148721, 0.0038633535833408434, 0.0037493513679752745, 0.0035643118371566137, 0.003410884713133176, 0.0032262394949793814, 0.0030933483814199764, 0.003082584518318375]","[0.051567724960691785, 0.04991799921673887, 0.0431823412723401, 0.04289840621983304, 0.03729427989353152, 0.03524993557263823, 0.03512775498058866, 0.03401315936763935, 0.0339443439973847, 0.03243684081141563, 0.03176136654527748, 0.031522360630333424, 0.03172101394054206, 0.031434285755762285, 0.03158348016714787, 0.03033755282077062, 0.031368479242219645, 0.031255020431297666, 0.030951580950332916, 0.030202954569283652, 0.03129711004850619, 0.031414026997106916, 0.03159127466599731, 0.031307004501714426, 0.03134896904777955, 0.030916797709377372]"
30,"[0.05825582513576358, 0.04511779360939595, 0.03786014549617651, 0.03241624192681431, 0.02675888411551465, 0.022025020905025613, 0.01921141739912916, 0.01644763155126686, 0.012846808034370036, 0.01092788281241037, 0.00949538777775142, 0.008489107678509092, 0.007429512667365509, 0.00623647886105286, 0.005952056511134245, 0.0053195924286688605, 0.005080774060888946, 0.004595326949478452, 0.004243253771536742, 0.004140283047176512, 0.0037196705653060086]","[0.05181364858046521, 0.04443552848240433, 0.04255829576056364, 0.03815322121706351, 0.03719314780490574, 0.035741729069818824, 0.0371401586710627, 0.03762393161769985, 0.03432584473819927, 0.03655679191303866, 0.034717214651145904, 0.03382219039192495, 0.03312651402959528, 0.03460215149779421, 0.032955546433813585, 0.03493507253006101, 0.03304855870949321, 0.034181832523597765, 0.034976239391970775, 0.0337680578628887, 0.0344096138665467]"
31,"[0.06271730040510495, 0.03682510313888391, 0.024840773524095614, 0.017314802048106988, 0.012484887872512142, 0.010060397777706384, 0.007338374392129481, 0.0060790915026639894, 0.005181652621055643, 0.004496045899577439, 0.004254023490163187, 0.004006303151448567, 0.0039192810328677295, 0.003646886240846167, 0.003529325380610923, 0.003396954242295275, 0.0032359424124782286, 0.003176483827022215, 0.0030485195006864766, 0.003115516260731965, 0.0031057256693020462, 0.0032579514430835844, 0.003295469763688743, 0.003120876851802071, 0.0031043692453143496, 0.0029804222324552637, 0.003359097115074595, 0.003274385488281647]","[0.04706718095324256, 0.035410778766328636, 0.03442175934712092, 0.03066610589369454, 0.033883146179670635, 0.03398850486811363, 0.0323016568453926, 0.03132614603435451, 0.030864174082649475, 0.0304999781038725, 0.031027987218377264, 0.030194077443218593, 0.02979884070880485, 0.030903687933459878, 0.02985457225110043, 0.029726664154705675, 0.031003475471427948, 0.030206458678356175, 0.029907231868216484, 0.030837901740927588, 0.030107933054254812, 0.028740418073015684, 0.029701786214542208, 0.029116556288279367, 0.030193781536636932, 0.03009684592711203, 0.028924740060712353, 0.029170818655102543]"
32,"[0.06661484370628992, 0.04465688577542702, 0.03304197922348976, 0.025967046370108923, 0.01850736270348231, 0.014027051956703266, 0.01041138109130164, 0.008177144310126701, 0.006797779079837103, 0.0053100056666880845, 0.004377481311870118, 0.0037591687279442945, 0.0034339846236010395, 0.003214366708416492, 0.003062272338817517, 0.0028992255156238874, 0.0025342892832122743, 0.002516464839378993, 0.0023161773515554766, 0.00218403308885172, 0.0021752657174753647, 0.002203546381400277, 0.0022505921847186983, 0.0020982781991673014, 0.0020336262113414705]","[0.05022567612203685, 0.043058775873346763, 0.03738418808489135, 0.036172871689566156, 0.03299891113331824, 0.031911135661754415, 0.03131872494563912, 0.030703466223327047, 0.03024332997897132, 0.031742235398710225, 0.03161498959966456, 0.03016787442858472, 0.03123377422294156, 0.031582194634459236, 0.030518408878847506, 0.03016248613483075, 0.029448257963822194, 0.03011794738245733, 0.02932929711867914, 0.030238117768683216, 0.03018269343583873, 0.029982234012674202, 0.029995075292941747, 0.029557496901940216, 0.029433290601115335]"
33,"[0.06997079207251469, 0.0412577918296059, 0.029321819121638934, 0.021208071112632752, 0.014990100990980864, 0.01117704669944942, 0.009019723596672217, 0.007451475787286957, 0.006026801328795651, 0.005637572555181881, 0.0052446414437145, 0.004756994781394799, 0.00456037191208452, 0.0068345784892638525, 0.006799150370061398, 0.005240485984832049, 0.004271955330235263, 0.003552499443758279, 0.0033213212480768563, 0.003241723047879835, 0.0031051770900376143, 0.0031211053448108334, 0.0031997430650517345, 0.003150995419515918, 0.0032812468878303967, 0.0033641089871525765, 0.0032838634836177033, 0.003493593665771186, 0.003358949568743507, 0.003576537212356925, 0.0038982711212399105, 0.005766346484112243, 0.008117732874428232, 0.005836199129310747]","[0.04912383775367881, 0.0457690248660969, 0.034648591920620565, 0.0321352326339393, 0.031560314932104316, 0.03205728910115519, 0.03193021159985977, 0.031196603410397514, 0.030924540690400383, 0.031290034551850775, 0.03029818561238547, 0.031227814344068367, 0.030556579826004578, 0.032182131498826275, 0.03156136759472164, 0.02979986812693603, 0.029073856037222977, 0.029657669450071724, 0.029612196101383728, 0.029460856239452507, 0.029426255079945833, 0.029283132601642246, 0.02897948750548742, 0.028901066362970705, 0.02935670605493766, 0.03030985523241036, 0.029385674688400643, 0.028812866827303715, 0.03044275978975224, 0.029218726876107128, 0.03237785252206253, 0.0360355902124535, 0.033602053355990036, 0.0334144528729446]"
34,"[0.09982196475068728, 0.051854665043453374, 0.03677029125392437, 0.879557046679159, 1.0033524338404338, 1.004469118118286, 1.0046773060162861, 1.0046379538377126, 1.0050713702042897]","[0.06331830370155248, 0.04544978261445508, 0.03846189176494425, 1.026360323934844, 1.026357408725854, 1.0263598181984641, 1.0263636365081326, 1.026374379793803, 1.0263675053914387]"
35,"[0.16268277947537488, 0.10934485824707156, 0.8993400553543003, 0.9689043097210448, 1.0059554445524646, 0.9069306181995618, 0.31477271025387793, 0.18719015320846952]","[0.11918014570955159, 0.10626045929253564, 1.0277832968290461, 1.027783186860787, 1.02778296137965, 0.41487953910069875, 0.1955429387762565, 0.14345568401175876]"
36,"[0.08029460070033868, 0.044590532816946506, 0.03556984935576717, 0.029915815064062674, 0.02498359212651849, 0.021756964238981404, 0.019023124041656653, 0.015874292980879546, 0.01396345380693674, 0.013126639031494657, 0.011776173105463385, 0.01087619286030531, 0.00943998026351134, 0.0091360651422292, 0.009038568347071608, 0.00848051653864483, 0.008398750592023134, 0.007368630943819881]","[0.052889815108342605, 0.044469306245446205, 0.039356675732767944, 0.03755672284486619, 0.035730349817172144, 0.03624313934282823, 0.03325255706228993, 0.03629805292990623, 0.03427234403506824, 0.03450843934534174, 0.036910374216721255, 0.032667735760862175, 0.03331087278484395, 0.03444280255247246, 0.036149778798448315, 0.03441454563289881, 0.03322041613247358, 0.033507002856243744]"
37,"[0.13936382214228313, 0.09993342260519664, 0.09633019564052422, 0.09533556789159775, 0.09832748015721639, 0.09545908456047376, 0.09889416550596555, 0.0968394340078036, 0.09494228685895602, 0.09470230996608735, 0.09695162579417228, 1.0212254350880783, 0.7934698016444842, 0.5684680266181628]","[0.10414027671019237, 0.093987953256477, 0.09303178051204393, 0.09254256387551625, 0.09297705328825748, 0.09274331480264664, 0.09249626732233798, 0.0924883322282271, 0.10536383250446031, 0.09293260109243971, 0.09320017130989017, 1.1599920626842615, 0.3119397312402725, 1.093712537577658]"
38,"[0.05998551337669293, 0.04368233655889829, 0.03597398150712252, 0.029151397608220577, 0.021994749481479326, 0.01774830585345626, 0.014270791796346506, 0.011813480220735074, 0.008402932314202189, 0.006955491372694572, 0.005694484395595888, 0.004824327481910587, 0.004325063996948302, 0.00392413016796733, 0.0036896076301733654, 0.003430567467585206, 0.0033060444868169723, 0.0032248570715698102, 0.0028265514814605317, 0.002858766329785188, 0.0028797870214718082, 0.0027878618015286824, 0.0026681150146760048, 0.002555900535080582, 0.002606046504806727, 0.0025002361826288204, 0.002471871605763833, 0.0024768013010422387]","[0.05740036454164621, 0.04292228863094792, 0.0414298317310485, 0.035059135209656124, 0.03550068489416982, 0.0350086060211514, 0.03414682949060631, 0.03300355217476009, 0.0319114174115274, 0.03229328910255748, 0.03224868566559797, 0.03280901913107796, 0.03181358240544796, 0.032888681063372074, 0.032944706014611504, 0.031503652476451614, 0.0330448277774408, 0.03176893014460802, 0.03102775809891296, 0.031200947000108885, 0.03181926707144488, 0.030610658694058657, 0.03180692268704826, 0.03086402040031372, 0.032165707258338276, 0.03084175546907566, 0.0314563624278614, 0.031685239635407925]"
39,"[0.060969220424608915, 0.03895488332254262, 0.029475235716845585, 0.02378835004345453, 0.019621149014109412, 0.016525368135459784, 0.014094511500228576, 0.0138778539482529, 0.014852818832787155, 0.015936540460325964, 0.011325224835226601, 0.009765023973347536, 0.010117567840494054, 0.009591200692347486, 0.009684616576014195, 0.010042917170330186, 0.009362949726392572]","[0.04350346588175888, 0.039703162091011684, 0.03757300011293833, 0.03519072394471529, 0.03591548582149107, 0.03278889780315433, 0.03428515031854369, 0.03354369599170001, 0.03509785421192646, 0.034388284401087335, 0.03250413953304984, 0.03302039298799264, 0.03353835377741114, 0.033936864189269354, 0.03373779573427268, 0.03289769762809309, 0.03284354130340408]"
40,"[0.10756995484232902, 0.09244279603163401, 0.09234153260787328, 0.0924223596851031, 0.09244505296150843, 0.09237988670667012, 0.09242201934258143, 0.09230190972487132, 0.09239502936601639, 0.09227975428104401, 0.09237634946902593, 0.09235608498255411, 0.09232701609532039]","[0.09315727081368952, 0.09251855620566536, 0.09242729535874199, 0.09324678603340597, 0.09248396491303164, 0.09246671813375809, 0.09242244678385117, 0.09243824420606389, 0.09250740005689509, 0.09245961773044922, 0.09251734482891419, 0.09246347055715673, 0.0925293538500281]"
41,"[0.06641568385064602, 0.04475571901847919, 0.03364997796714306, 0.025547218322753907, 0.019591849567368626, 0.015059798347453275, 0.011766401234393318, 0.009282012842595578, 0.0073903494514524935, 0.00628509103320539, 0.005537491679812471, 0.005095968404784799, 0.004583678951797386, 0.004294099078203241, 0.007105171840327482, 0.004471243730125328, 0.0035478598934908707]","[0.04970335847500599, 0.040745543598225624, 0.038939944419050306, 0.03367909041205139, 0.036380393374146835, 0.031909041219588485, 0.03247030271273671, 0.03146482971637989, 0.03158067749587424, 0.03067106156694618, 0.030036723833869804, 0.031056568167652145, 0.030917209149761635, 0.03254321959772796, 0.032314666490437405, 0.030999850001976345, 0.030463554585973423]"
42,"[0.06156106885522604, 0.03979541393617789, 0.02835311573619644, 0.02022954812273383, 0.017500223157306514, 0.013278265135983626, 0.009293510482336084, 0.00754439497521768, 0.006322970211816331, 0.005591248323520024, 0.005126982138802608, 0.0044460674670214455, 0.004210825411913296, 0.004067587338698407, 0.004178551059837143, 0.00402164784570535, 0.003773845322430134, 0.003653626854841908, 0.0036849786046271524, 0.0035786415411469836, 0.003407567678950727, 0.0033204950531944633, 0.003387744897045195]","[0.05449471735593044, 0.038429402661594475, 0.03486667999602629, 0.03442404876378449, 0.034537304136337654, 0.03162166244830146, 0.03263422203334895, 0.030372738499533047, 0.03307390791561567, 0.03106626370131518, 0.03083652692536513, 0.03014520535979307, 0.030753241118156548, 0.029817964627661488, 0.03183392686487147, 0.030407372551659744, 0.02914866477702603, 0.030358221664121658, 0.030437570065259933, 0.029594548977911472, 0.029908442361788315, 0.02973323002118956, 0.03019274395862312]"
43,"[0.0893166911850373, 0.061648481798668706, 0.04735190668453773, 0.0362576096629103, 0.03314341583599647, 0.031364500895142554, 0.026468592155724766, 0.02567182161534826, 0.022318056356161832, 0.02226111575961113, 0.022470949987570446, 0.02257475396618247, 0.024644942184289295, 0.018223479334264995, 0.016047399174422026, 0.01417910381530722, 0.014054792989045382, 0.016469083707779646, 0.01695003508279721, 0.014563831373428305, 0.013897458364566167, 0.013451862984026472, 0.011971721233179172]","[0.05878287689252333, 0.04906042958750869, 0.04269438451438239, 0.04247161000967026, 0.05029980014219428, 0.05382261340591041, 0.03615025540983135, 0.03989998519307736, 0.034498134811380594, 0.04207955319152185, 0.040546708909625355, 0.038810874476577294, 0.035412117994079985, 0.03390187583863735, 0.033781213029711085, 0.041750917373450866, 0.03210778315339915, 0.0325062840005778, 0.03322129583720005, 0.03770054492986563, 0.0323808617381887, 0.03303574470125816, 0.03299479837402363]"
44,"[0.057748721223324535, 0.04034835652448237, 0.030587105667218565, 0.023048524452994268, 0.02137478065211326, 0.019061412126757205, 0.011306378197235366, 0.00852410492254421, 0.0067486557946540415, 0.0055911417398601775, 0.006149100124991189, 0.0045774254486119995, 0.0038513574780275426, 0.0035234967549331486]","[0.04677233799145772, 0.04153032436107214, 0.03895844159504542, 0.03529930004420189, 0.04936546517106203, 0.03285182864906696, 0.032104679856162804, 0.03067093626775134, 0.03250160931537931, 0.0316982285047953, 0.031833140265483124, 0.031991613942843215, 0.032661671169961874, 0.031257667070111406]"
45,"[0.09243587456643582, 0.08852523908019067, 0.08511667298773924, 0.08084261668225129, 0.07479883867005507, 0.06480770046512285, 0.057681896996994816, 0.05530472911894321, 0.05391794155041377, 0.0528306199858586, 0.05232654510686795, 0.051728456194202105, 0.05108354109028975, 0.05053544058154027, 0.0502325693766276, 0.04997154569874207, 0.049551917413870494, 0.04918583502372106, 0.04863989753027757, 0.048678425674637156, 0.048353459015488626, 0.04803930835177501, 0.04783459483335416, 0.04752884853631258, 0.047066224751373134, 0.047290623287359876, 0.046741432038446266, 0.04681030765175819, 0.0466324653600653, 0.04636866574486097, 0.04646595325320959, 0.04611452820400397, 0.04588925742854675, 0.045859093653659026, 0.045485484860837457, 0.04550474774092436, 0.045230837141474085, 0.04531126867979765, 0.04497832701851924, 0.04482755156854788, 0.04470855485647917, 0.04459869068115949, 0.04465291102727254, 0.044467711076140407, 0.04423231795430183, 0.0440054061015447, 0.04402494794378678, 0.0440387425199151, 0.04380732289204995, 0.043803839584191644]","[0.0899145912491914, 0.08697990124875848, 0.08352118267705946, 0.07899700917980888, 0.07167164642702449, 0.062323719150189194, 0.058866724146134926, 0.05791257671786077, 0.056334653587052315, 0.055787029591473664, 0.0550032566216859, 0.05437512176506447, 0.05424412960807482, 0.05400907507900036, 0.05362972323641633, 0.05288852773832552, 0.05260228952675155, 0.05226568301970309, 0.052021530089956344, 0.05191586369817907, 0.05163580822673711, 0.051629502890688, 0.051299724614981446, 0.051044595964027176, 0.05097627278530237, 0.050973343013814, 0.05094512337536523, 0.05045544954411911, 0.05038397951108037, 0.05022346725066503, 0.05007232082161037, 0.049904765166116485, 0.04976989848144127, 0.049751580890380974, 0.049649537286975166, 0.04947960941177426, 0.04954130586349603, 0.04948337161631295, 0.049447492103685035, 0.050457233506621735, 0.04910855841907588, 0.049163154354601196, 0.04908301049109661, 0.04888805543834513, 0.049349114411708084, 0.048777687843098785, 0.04875327782197432, 0.04869135085380438, 0.04851857809857889, 0.048610571433197365]"
46,"[0.05975243162363768, 0.045011767024795216, 0.038206643524269265, 0.03227754005541404, 0.0268072027216355, 0.02175222283229232, 0.018642933536320926, 0.015208533437301715, 0.013062077608580391, 0.011772894430905581, 0.00937674731016159, 0.008416384567196171, 0.00720415407170852, 0.006787585859807829, 0.006256057643331587, 0.00624609441185991, 0.005366646678497394, 0.005088868861397107, 0.00436145490501076, 0.004039418042326967, 0.004047164097428322, 0.003914444393788775, 0.0038033611793071033, 0.004287353803714117]","[0.05215436412077962, 0.050647199831225655, 0.04058617573570122, 0.043241467834873634, 0.03787391717461022, 0.03658769804645668, 0.035732694901525974, 0.03511428366640978, 0.03534598180064649, 0.035260729915039105, 0.03553190417446648, 0.03452899733163191, 0.03429466058415445, 0.0350426903671839, 0.03505890458032037, 0.0341131510071908, 0.034283641768111425, 0.03355888953912213, 0.03414985413352648, 0.03481810525497139, 0.03480566424232992, 0.03400153407446024, 0.033820885422315, 0.03569331234603217]"
47,"[0.0720454582075278, 0.04401540173838536, 0.03404538155843814, 0.026170303300023078, 0.02073611066987117, 0.0159894993280371, 0.012464178909237187, 0.010154843786731363, 0.00832106995706757, 0.007326010338341196, 0.006483445751170317, 0.005667657743518551, 0.005243700592157742, 0.004540800371517738, 0.005150705875518421, 0.004285365155277152, 0.0038431666356821856, 0.0037538159297158323, 0.0038698871433734895, 0.003746765850422283]","[0.051831728355451065, 0.04345960158741835, 0.03736141236555396, 0.03853955682169533, 0.03419335643676194, 0.034359230532903566, 0.033089160354751526, 0.032653335171441235, 0.032686085126249854, 0.032894905085082755, 0.03182001733644442, 0.0339973544927709, 0.032972910893008564, 0.03098169457393162, 0.03261015047742562, 0.032134046044313545, 0.03156090056467237, 0.03217603365015803, 0.03239772680469535, 0.03157261330069917]"
48,"[0.08800496332347393, 0.055873925127089025, 0.04411784208069245, 0.03680842658504844, 0.02993658819856743, 0.027193398936651646, 0.025586162265390157, 0.024261640035547316, 0.02240834217829009, 0.0356348347881188, 0.0324362549247841, 0.0244376691027234, 0.02249912068558236]","[0.060475941403554036, 0.05080097349217305, 0.05108496446449023, 0.03713380281741802, 0.039086897040788944, 0.036943112557324076, 0.03674518776197846, 0.038066264499838534, 0.04903987830934616, 0.07728395387530326, 0.047029101497565326, 0.044791101252373594, 0.040084259579173075]"
49,"[0.07256787995497385, 0.05263507194817066, 0.049434388528267544, 0.0474296265343825, 0.045429628863930704, 0.0429820528998971, 0.04085477266460657, 0.03886709562192361, 0.037265660328169664, 0.03751520644873381, 0.03471997799972693, 0.03457574794689814, 0.03183841120451689, 0.030412073930104574, 0.029986423489948115, 0.02788517638420065, 0.02611547006915013, 0.026731461863964797, 0.024787271538128455, 0.02301284009590745, 0.021928036510944368, 0.021223949181536833, 0.020790976112087568, 0.020493401382118463, 0.01909749621525407, 0.01807485273728768, 0.018356528244912625, 0.016782567892223595, 0.016238336612780888, 0.01551028199493885, 0.01561634313936035, 0.014129179005200665, 0.013539460934698582, 0.01344188320140044, 0.013129162521411976, 0.015077691276868184, 0.012091104897360008, 0.011860289989660183]","[0.0591399259865284, 0.05741427782358545, 0.0509733185172081, 0.04956990051450151, 0.047132744820732056, 0.046456404594760956, 0.044782988501317574, 0.04353155376333179, 0.04395830642544862, 0.04538815254063317, 0.04506148793029063, 0.04441387392580509, 0.043332282453775406, 0.04044151452906204, 0.04217318456732866, 0.04173116953196851, 0.03995483357346419, 0.040193952013258684, 0.04142310278433742, 0.03905563412064856, 0.0377784784544598, 0.041749357669190926, 0.0390688573772257, 0.0378906958538926, 0.03778333945030516, 0.04401653241648367, 0.037685449700802565, 0.03607602250959837, 0.040303434075957, 0.03759641753453197, 0.03708792254893166, 0.03561871419801856, 0.037982431071048435, 0.03654406245120547, 0.04263228900504835, 0.03727548623062445, 0.0381710348142819, 0.03765530737512039]"
